Prov_Name,Topic,Characteristic,Total
Canada,Population and dwelling counts,Population in 2006,31612897
Canada,Population and dwelling counts,Population in 2001,30007094
Canada,Population and dwelling counts,2001 to 2006 population change (%),5.4
Canada,Population and dwelling counts,Total private dwellings,13576855
Canada,Population and dwelling counts,Private dwellings occupied by usual residents,12435520
Canada,Population and dwelling counts,Population density per square kilometre,3.5
Canada,Population and dwelling counts,Land area (square km),9017698.92
Canada,Age characteristics,Total population,31612895
Canada,Age characteristics,   0 to 4 years,1690540
Canada,Age characteristics,   5 to 9 years,1809370
Canada,Age characteristics,   10 to 14 years,2079925
Canada,Age characteristics,   15 to 19 years,2140490
Canada,Age characteristics,   20 to 24 years,2080385
Canada,Age characteristics,   25 to 29 years,1985580
Canada,Age characteristics,   30 to 34 years,2020230
Canada,Age characteristics,   35 to 39 years,2208270
Canada,Age characteristics,   40 to 44 years,2610455
Canada,Age characteristics,   45 to 49 years,2620595
Canada,Age characteristics,   50 to 54 years,2357305
Canada,Age characteristics,   55 to 59 years,2084620
Canada,Age characteristics,   60 to 64 years,1589865
Canada,Age characteristics,   65 to 69 years,1234575
Canada,Age characteristics,   70 to 74 years,1053785
Canada,Age characteristics,   75 to 79 years,879580
Canada,Age characteristics,   80 to 84 years,646705
Canada,Age characteristics,   85 years and over,520605
Canada,Age characteristics,Median age of the population,39.5
Canada,Age characteristics,% of the population aged 15 and over,82.3
Canada,Common-law status characteristics,Total population 15 years and over,26033060
Canada,Common-law status characteristics,   Not in a common-law relationship,23301420
Canada,Common-law status characteristics,   In a common-law relationship,2731635
Canada,Legal marital status characteristics,Total population 15 years and over,26033060
Canada,Legal marital status characteristics,   Never legally married (single),9087030
Canada,Legal marital status characteristics,   Legally married (and not separated),12470400
Canada,Legal marital status characteristics,"   Separated, but still legally married",775425
Canada,Legal marital status characteristics,   Divorced,2087385
Canada,Legal marital status characteristics,   Widowed,1612820
Canada,Occupied private dwelling characteristics,Total private dwellings occupied by usual residents,12437470
Canada,Occupied private dwelling characteristics,   Single-detached houses - as a % of total occupied private dwellings,55.3
Canada,Occupied private dwelling characteristics,   Semi-detached houses - as a % of total occupied private dwellings,4.8
Canada,Occupied private dwelling characteristics,   Row houses - as a % of total occupied private dwellings,5.6
Canada,Occupied private dwelling characteristics,"   Apartments, duplex - as a % of total occupied private dwellings",5.3
Canada,Occupied private dwelling characteristics,   Apartments in buildings with fewer than five storeys - as a % of total occupied private dwellings,18.4
Canada,Occupied private dwelling characteristics,   Apartments in buildings with five or more storeys - as a % of total occupied private dwellings,8.9
Canada,Occupied private dwelling characteristics,   Other dwellings - as a % of total occupied private dwellings,1.6
Canada,Occupied private dwelling characteristics,Number of owned dwellings,8509780
Canada,Occupied private dwelling characteristics,Number of rented dwellings,3878500
Canada,Occupied private dwelling characteristics,Number of dwellings constructed before 1986,8610600
Canada,Occupied private dwelling characteristics,Number of dwellings constructed between 1986 and 2006,3826870
Canada,Occupied private dwelling characteristics,Dwellings requiring major repair - as a % of total occupied private dwellings,7.5
Canada,Occupied private dwelling characteristics,Average number of rooms per dwelling,6.4
Canada,Occupied private dwelling characteristics,Dwellings with more than one person per room - as a % of total occupied private dwellings,1.5
Canada,Occupied private dwelling characteristics,Average value of owned dwelling ($),263369
Canada,Selected family characteristics,Total number of census families,8896840
Canada,Selected family characteristics,   Number of married-couple families,6105910
Canada,Selected family characteristics,   Number of common-law-couple families,1376870
Canada,Selected family characteristics,   Number of lone-parent families,1414065
Canada,Selected family characteristics,      Number of female lone-parent families,1132290
Canada,Selected family characteristics,      Number of male lone-parent families,281775
Canada,Selected family characteristics,Average number of persons in all census families,2.9
Canada,Selected family characteristics,   Average number of persons in married-couple families,3.1
Canada,Selected family characteristics,   Average number of persons in common-law-couple families,2.8
Canada,Selected family characteristics,   Average number of persons in lone-parent families,2.5
Canada,Selected family characteristics,      Average number of persons in female lone-parent families,2.5
Canada,Selected family characteristics,      Average number of persons in male lone-parent families,2.4
Canada,Selected family characteristics,Median income in 2005 - All census families ($),63866
Canada,Selected family characteristics,   Median income in 2005 - Married-couple families ($),71665
Canada,Selected family characteristics,   Median income in 2005 - Common-law-couple families ($),63811
Canada,Selected family characteristics,   Median income in 2005 - Lone-parent families ($),36465
Canada,Selected family characteristics,      Median income in 2005 - Female lone-parent families ($),34350
Canada,Selected family characteristics,      Median income in 2005 - Male lone-parent families ($),47153
