Prov_Name,Topic,Characteristic,Total
Canada,Population and Dwelling Counts,Population in 2001,30007094
Canada,Population and Dwelling Counts, Population in 1996,28846761
Canada,Population and Dwelling Counts, 1996 to 2001 population change (%),4
Canada,Population and Dwelling Counts, Total private dwellings,12548588
Canada,Population and Dwelling Counts, Population density per square kilometre,3.3
Canada,Population and Dwelling Counts, Land area (square km),9012112.2
Canada,Age Characteristics of the Population,Total - All persons,30007095
Canada,Age Characteristics of the Population,   Age 0-4,1696285
Canada,Age Characteristics of the Population,   Age 5-14,4029255
Canada,Age Characteristics of the Population,   Age 15-19,2053325
Canada,Age Characteristics of the Population,   Age 20-24,1955810
Canada,Age Characteristics of the Population,   Age 25-44,9096560
Canada,Age Characteristics of the Population,   Age 45-54,4419290
Canada,Age Characteristics of the Population,   Age 55-64,2868015
Canada,Age Characteristics of the Population,   Age 65-74,2142835
Canada,Age Characteristics of the Population,   Age 75-84,1329805
Canada,Age Characteristics of the Population,   Age 85 and over,415910
Canada,Age Characteristics of the Population, Median age of the population,37.6
Canada,Age Characteristics of the Population, % of the population ages 15 and over,80.9
Canada,Common-law Status,Total - Population 15 years and over,24281560
Canada,Common-law Status,   Not in a common-law relationship,21996725
Canada,Common-law Status,   In a common-law relationship,2284830
Canada,Legal Marital Status,Total - Population 15 years and over,24281555
Canada,Legal Marital Status,   Single,8139330
Canada,Legal Marital Status,   Married,12011675
Canada,Legal Marital Status,   Separated,733870
Canada,Legal Marital Status,   Divorced,1854770
Canada,Legal Marital Status,   Widowed,1541910
Canada,Language(s) First Learned and Still Understood,Total - All persons,29639030
Canada,Language(s) First Learned and Still Understood,   English only,17352320
Canada,Language(s) First Learned and Still Understood,   French only,6703330
Canada,Language(s) First Learned and Still Understood,   Both English and French,112580
Canada,Language(s) First Learned and Still Understood,   Other languages,5470815
Canada,Mobility Status - Place of Residence 1 Year Ago,Total population 1 year and over,29314755
Canada,Mobility Status - Place of Residence 1 Year Ago,   Lived at the same address 1 year ago,25123490
Canada,Mobility Status - Place of Residence 1 Year Ago,"   Lived within the same province/territory 1 year ago, but changed address",3612010
Canada,Mobility Status - Place of Residence 1 Year Ago,   Lived in a different province/territory or country 1 year ago,579255
Canada,Mobility Status - Place of Residence 5 Years Ago,Total population 5 years and over,27932585
Canada,Mobility Status - Place of Residence 5 Years Ago,   Lived at the same address 5 years ago,16222260
Canada,Mobility Status - Place of Residence 5 Years Ago,"   Lived within the same province/territory 5 years ago, but changed address",9828695
Canada,Mobility Status - Place of Residence 5 Years Ago,   Lived in a different province/territory or country 5 years ago,1881630
Canada,Immigration Characteristics,Total - All persons,29639035
Canada,Immigration Characteristics,   Canadian-born population,23991910
Canada,Immigration Characteristics,   Foreign-born population,5448480
Canada,Immigration Characteristics,      Immigrated before 1991,3617800
Canada,Immigration Characteristics,      Immigrated between 1991 and 2001,1830680
Canada,Immigration Characteristics,   Non-permanent residents,198640
Canada,Aboriginal Population,Total - All persons,29639030
Canada,Aboriginal Population,   Aboriginal identity population,976305
Canada,Aboriginal Population,   Non-Aboriginal population,28662725
Canada,Visible Minority Status,Total population by visible minority groups,29639030
Canada,Visible Minority Status,   Visible minority population,3983845
Canada,Visible Minority Status,      Chinese,1029395
Canada,Visible Minority Status,      South Asian,917075
Canada,Visible Minority Status,      Black,662215
Canada,Visible Minority Status,      Filipino,308575
Canada,Visible Minority Status,      Latin American,216980
Canada,Visible Minority Status,      Southeast Asian,198880
Canada,Visible Minority Status,      Arab,194685
Canada,Visible Minority Status,      West Asian,109285
Canada,Visible Minority Status,      Korean,100660
Canada,Visible Minority Status,      Japanese,73315
Canada,Visible Minority Status,"      Visible minority, n.i.e",98915
Canada,Visible Minority Status,      Multiple visible minorities,73875
Canada,Visible Minority Status,   All others,25655185
Canada,Religion,Total - Religion,29639035
Canada,Religion,   Catholic,12936910
Canada,Religion,   Protestant,8654850
Canada,Religion,   Christian Orthodox,479620
Canada,Religion,"   Christian, n.i.e.",780450
Canada,Religion,   Muslim,579640
Canada,Religion,   Jewish,329995
Canada,Religion,   Buddhist,300345
Canada,Religion,   Hindu,297200
Canada,Religion,   Sikh,278410
Canada,Religion,   Eastern religions,37550
Canada,Religion,   Other religions,63975
Canada,Religion,   No religious affiliation,4900090
